race_id,race_date,venue,race_number,race_name,grade,distance,surface,track_condition,weather,horse_number,gate_number,horse_name,horse_id,sex_age,weight,jockey_name,jockey_id,trainer_name,odds,popularity,finish_position,finish_time,last_3f,horse_weight,horse_weight_diff,corner_positions
20250810TOK11,2025-08-10,東京,11,真夏のG1レース,G1,2000,芝,良,晴,1,1,ゴールドフラッシュ,H001,牡4,58.0,田中一郎,J001,山田太郎,,,,,490,2,
20250810TOK11,2025-08-10,東京,11,真夏のG1レース,G1,2000,芝,良,晴,2,1,シルバーウィンド,H002,牡5,58.0,鈴木次郎,J002,佐藤花子,,,,,476,0,
20250810TOK11,2025-08-10,東京,11,真夏のG1レース,G1,2000,芝,良,晴,3,2,レッドブレイズ,H003,牝4,56.0,高橋三郎,J003,中村一男,,,,,464,2,
20250810TOK11,2025-08-10,東京,11,真夏のG1レース,G1,2000,芝,良,晴,4,2,ブルーオーシャン,H004,牡4,58.0,伊藤四郎,J004,小林二郎,,,,,502,0,
20250810TOK11,2025-08-10,東京,11,真夏のG1レース,G1,2000,芝,良,晴,5,3,グリーンフォレスト,H005,牡3,56.0,渡辺五郎,J005,加藤三子,,,,,468,2,
20250810TOK11,2025-08-10,東京,11,真夏のG1レース,G1,2000,芝,良,晴,6,3,パープルヘイズ,H006,牝3,54.0,松本六助,J006,吉田四郎,,,,,444,2,
20250810TOK11,2025-08-10,東京,11,真夏のG1レース,G1,2000,芝,良,晴,7,4,ホワイトスノー,H007,牡5,58.0,木村七男,J007,山本五子,,,,,506,2,
20250810TOK11,2025-08-10,東京,11,真夏のG1レース,G1,2000,芝,良,晴,8,4,ダークシャドウ,H008,牡6,58.0,林八郎,J008,松田六助,,,,,518,2,
20250810TOK11,2025-08-10,東京,11,真夏のG1レース,G1,2000,芝,良,晴,9,5,スターライトノヴァ,H009,牡4,58.0,斎藤九一,J009,井上七子,,,,,486,2,
20250810TOK11,2025-08-10,東京,11,真夏のG1レース,G1,2000,芝,良,晴,10,5,サンダーボルト,H010,牡5,58.0,岡田十郎,J010,藤田八男,,,,,516,2,
20250810TOK11,2025-08-10,東京,11,真夏のG1レース,G1,2000,芝,良,晴,11,6,ルビードリーム,H011,牝4,56.0,田中一郎,J001,山田太郎,,,,,454,2,
20250810TOK11,2025-08-10,東京,11,真夏のG1レース,G1,2000,芝,良,晴,12,6,エメラルドスカイ,H012,牡3,56.0,渡辺五郎,J005,加藤三子,,,,,480,2,
20250810TOK11,2025-08-10,東京,11,真夏のG1レース,G1,2000,芝,良,晴,13,7,オパールムーン,H013,牝5,56.0,松本六助,J006,吉田四郎,,,,,468,2,
20250810TOK11,2025-08-10,東京,11,真夏のG1レース,G1,2000,芝,良,晴,14,7,トパーズサン,H014,牡4,58.0,木村七男,J007,山本五子,,,,,496,2,
20250810TOK11,2025-08-10,東京,11,真夏のG1レース,G1,2000,芝,良,晴,15,8,アイアンハート,H015,牡5,58.0,林八郎,J008,松田六助,,,,,528,2,
20250810TOK11,2025-08-10,東京,11,真夏のG1レース,G1,2000,芝,良,晴,16,8,クリスタルレイン,H016,牡3,56.0,岡田十郎,J010,藤田八男,,,,,462,2,
